property_id,borough,postcode,property_type,bedrooms,bathrooms,monthly_rent_gbp,listing_date,lease_start_date,lease_end_date,status,letting_agent,landlord_type,epc_rating,year_built,service_charge_gbp,furnished
PROP0034,Lewisham,SE13 4AJ,Semi-Detached House,3,2,2920,2022-10-20,2022-11-11,2023-11-11,Let,Savills,Housing Association,B,1990,0.0,Furnished
PROP0035,Tower Hamlets,E3 1AH,Terraced House,3,2,3400,2022-03-05,2022-03-25,2023-03-25,Let,Foxtons,Estate Agency,C,1996,0.0,Unfurnished
PROP0036,Ealing,W13 7AL,Studio,0,1,1120,2023-07-14,2023-09-10,2025-09-09,Under Offer,Haart,Housing Association,A,1949,0.0,Unfurnished
PROP0037,Haringey,N4 7AE,Semi-Detached House,3,2,2940,2023-04-24,2023-05-09,2025-05-08,Let,Direct,Private Landlord,D,1923,0.0,Furnished
PROP0038,Islington,N1 9AA,Terraced House,3,2,3670,2023-01-24,2023-02-17,2024-02-17,Let,Savills,Estate Agency,C,1928,0.0,Part Furnished
PROP0039,Tower Hamlets,E1 8AB,Studio,0,1,1310,2022-02-01,2022-02-23,2023-02-23,Void,Knight Frank,Housing Association,C,1959,0.0,Part Furnished
PROP0040,Islington,EC1 7AJ,Studio,0,1,1590,2022-04-28,2022-06-23,2023-06-23,Under Offer,Savills,Private Landlord,C,1909,0.0,Part Furnished
PROP0041,Waltham Forest,E11 7AH,Studio,0,1,990,2022-11-05,2022-12-25,2024-12-24,Void,Foxtons,Corporate Landlord,B,1964,0.0,Part Furnished
PROP0042,Camden,WC1 9AG,Flat,2,1,2660,2023-01-06,2023-02-22,2024-02-22,Available,Direct,Housing Association,E,1999,145.05,Unfurnished
PROP0043,Ealing,W13 1AL,Detached House,4,3,4420,2022-03-30,2022-04-23,2023-04-23,Let,Haart,Estate Agency,C,1923,0.0,Unfurnished
PROP0044,Lambeth,SW2 7AL,Terraced House,3,2,3020,2023-09-03,2023-10-24,2024-10-23,Available,Countrywide,Private Landlord,E,1997,0.0,Furnished
PROP0045,Waltham Forest,E11 6AL,Terraced House,4,3,3220,2022-04-06,2022-05-01,2023-05-01,Let,Countrywide,Corporate Landlord,E,1967,0.0,Unfurnished
PROP0046,Wandsworth,SW12 2AN,Maisonette,3,2,3060,2023-04-10,2023-05-04,2024-05-03,Let,Savills,Housing Association,B,1924,64.92,Unfurnished
PROP0047,Islington,EC1 1AN,Detached House,5,4,6900,2022-04-13,2022-06-12,2023-06-12,Let,Purplebricks,Housing Association,B,1935,0.0,Furnished
PROP0048,Hackney,E9 6AE,Semi-Detached House,4,4,4660,2023-05-18,2023-05-31,2024-05-30,Available,Haart,Estate Agency,A,1932,0.0,Unfurnished
PROP0049,Tower Hamlets,E1 4AB,Studio,0,1,1410,2023-08-14,2023-09-30,2025-09-29,Let,Knight Frank,Corporate Landlord,E,1997,0.0,Unfurnished
PROP0050,Newham,E15 1AP,Semi-Detached House,4,4,3570,2023-01-25,2023-03-01,2024-02-29,Let,Direct,Corporate Landlord,B,1997,0.0,Furnished
PROP0051,Haringey,N8 1AF,Flat,1,1,1490,2023-07-20,2023-07-31,2024-07-30,Let,Haart,Estate Agency,C,1990,84.82,Unfurnished
PROP0052,Tower Hamlets,E1 2AA,Semi-Detached House,3,2,3830,2022-07-22,2022-08-25,2023-08-25,Let,Knight Frank,Corporate Landlord,B,2001,0.0,Unfurnished
PROP0053,Newham,E13 2AP,Detached House,5,4,4900,2023-04-25,2023-06-15,2024-06-14,Available,Hunters,Estate Agency,A,2013,0.0,Unfurnished
PROP0054,Waltham Forest,E11 1AE,Flat,2,2,1730,2023-11-22,2024-01-21,2026-01-20,Available,Foxtons,Corporate Landlord,D,1966,195.45,Unfurnished
PROP0055,Southwark,SE1 6AJ,Maisonette,2,1,2660,2022-04-04,2022-05-11,2023-05-11,Let,Purplebricks,Private Landlord,D,1936,198.78,Unfurnished
PROP0056,Ealing,UB6 9AL,Studio,0,1,1110,2022-11-19,2022-12-12,2023-12-12,Let,Direct,Private Landlord,D,1906,0.0,Furnished
PROP0057,Greenwich,SE18 8AB,Terraced House,4,3,3540,2022-02-22,2022-03-14,2023-03-14,Let,Hunters,Estate Agency,A,1980,0.0,Part Furnished
PROP0058,Brent,NW2 3AL,Flat,1,1,1530,2023-07-20,2023-08-22,2024-08-21,Let,Savills,Estate Agency,C,1965,211.62,Unfurnished
PROP0059,Ealing,W13 7AH,Terraced House,4,4,3230,2022-05-29,2022-06-29,2023-06-29,Under Offer,Knight Frank,Private Landlord,E,1934,0.0,Furnished
PROP0060,Islington,N7 9AJ,Detached House,5,4,7720,2023-05-17,2023-06-02,2024-06-01,Let,Purplebricks,Corporate Landlord,D,2019,0.0,Unfurnished
PROP0061,Ealing,UB6 3AL,Flat,1,1,1460,2023-02-25,2023-03-06,2024-03-05,Available,Direct,Estate Agency,A,1916,150.69,Part Furnished
PROP0062,Camden,NW3 5AH,Studio,0,1,1520,2023-04-13,2023-04-20,2025-04-19,Let,Knight Frank,Private Landlord,D,1983,0.0,Furnished
PROP0063,Ealing,W5 5AF,Flat,3,2,2690,2023-10-04,2023-11-25,2024-11-24,Under Offer,Foxtons,Private Landlord,B,1955,293.5,Part Furnished
PROP0064,Waltham Forest,E17 6AJ,Studio,0,1,1000,2022-11-03,2022-11-11,2023-11-11,Let,Foxtons,Corporate Landlord,B,1931,0.0,Part Furnished
PROP0065,Wandsworth,SW11 8AG,Semi-Detached House,3,3,3400,2023-09-17,2023-10-18,2025-10-17,Available,Haart,Housing Association,D,1932,0.0,Part Furnished
PROP0066,Hackney,N16 7AG,Studio,0,1,1530,2023-11-25,2024-01-05,2025-01-04,Let,Purplebricks,Corporate Landlord,D,2008,0.0,Unfurnished
PROP0067,Lambeth,SE11 7AG,Maisonette,2,2,2280,2023-08-09,2023-09-07,2025-09-06,Let,Hunters,Private Landlord,A,1972,259.52,Part Furnished
PROP0068,Hackney,N16 3AB,Maisonette,2,1,2760,2022-08-24,2022-10-08,2023-10-08,Let,Countrywide,Corporate Landlord,A,1939,236.58,Furnished
PROP0069,Newham,E15 9AG,Terraced House,3,3,2780,2022-12-01,2023-01-24,2024-01-24,Let,Knight Frank,Corporate Landlord,B,1932,0.0,Unfurnished
PROP0070,Brent,NW2 7AA,Flat,2,2,1980,2022-03-19,2022-04-04,2023-04-04,Under Offer,Direct,Corporate Landlord,C,1968,37.08,Unfurnished
PROP0071,Haringey,N15 9AH,Detached House,4,3,4280,2023-10-16,2023-11-15,2024-11-14,Available,Haart,Private Landlord,C,1982,0.0,Furnished
PROP0072,Haringey,N8 2AB,Studio,0,1,1130,2023-02-23,2023-03-09,2024-03-08,Let,Foxtons,Corporate Landlord,C,2013,0.0,Part Furnished
PROP0073,Southwark,SE15 2AL,Terraced House,3,2,3570,2023-12-15,2024-01-25,2025-01-24,Available,Knight Frank,Estate Agency,D,2020,0.0,Unfurnished
PROP0074,Hackney,E8 7AG,Semi-Detached House,3,2,3810,2022-08-30,2022-09-29,2023-09-29,Under Offer,Purplebricks,Corporate Landlord,C,1915,0.0,Unfurnished
PROP0075,Tower Hamlets,E1 9AF,Semi-Detached House,4,3,4550,2022-01-22,2022-02-01,2023-02-01,Let,Knight Frank,Housing Association,C,2004,0.0,Furnished
PROP0076,Camden,WC1 1AE,Studio,0,1,1490,2022-05-29,2022-06-13,2024-06-12,Let,Knight Frank,Private Landlord,A,1945,0.0,Furnished
PROP0077,Newham,E13 9AP,Flat,1,1,1340,2023-03-08,2023-04-17,2024-04-16,Available,Haart,Estate Agency,B,1957,151.15,Part Furnished
PROP0078,Hackney,N16 2AL,Detached House,5,4,6390,2023-10-21,2023-10-29,2024-10-28,Under Offer,Direct,Estate Agency,D,1909,0.0,Furnished
PROP0079,Camden,NW3 9AP,Semi-Detached House,3,3,4160,2023-10-11,2023-11-24,2025-11-23,Available,Direct,Corporate Landlord,D,1912,0.0,Part Furnished
PROP0080,Tower Hamlets,E3 8AJ,Studio,0,1,1500,2023-07-19,2023-09-10,2024-09-09,Let,Countrywide,Estate Agency,D,1993,0.0,Furnished
PROP0081,Camden,NW3 2AH,Terraced House,3,2,4200,2023-12-05,2024-01-11,2025-01-10,Let,Savills,Private Landlord,B,1971,0.0,Furnished
PROP0082,Newham,E13 5AH,Maisonette,3,2,2590,2023-02-25,2023-03-26,2025-03-25,Under Offer,Direct,Private Landlord,B,1973,152.22,Furnished
PROP0083,Haringey,N15 5AA,Terraced House,2,1,2460,2023-01-12,2023-01-26,2024-01-26,Available,Direct,Private Landlord,B,1934,0.0,Part Furnished
PROP0084,Brent,NW2 9AF,Flat,2,1,1840,2022-05-27,2022-07-09,2024-07-08,Let,Knight Frank,Private Landlord,D,1953,136.09,Furnished
PROP0085,Camden,NW3 8AJ,Flat,2,1,2880,2022-02-23,2022-03-11,2023-03-11,Void,Foxtons,Private Landlord,D,1977,132.61,Unfurnished
PROP0086,Lambeth,SW2 4AJ,Studio,0,1,1260,2022-04-24,2022-05-19,2024-05-18,Available,Haart,Corporate Landlord,A,1900,0.0,Furnished
PROP0087,Islington,EC1 9AF,Maisonette,1,1,2510,2022-05-03,2022-05-10,2023-05-10,Available,Knight Frank,Housing Association,E,1971,250.01,Unfurnished
PROP0088,Tower Hamlets,E3 2AJ,Terraced House,2,1,2610,2022-03-21,2022-04-17,2024-04-16,Let,Direct,Estate Agency,A,1941,0.0,Furnished
PROP0089,Brent,NW6 5AH,Maisonette,2,1,2230,2022-04-01,2022-05-05,2023-05-05,Let,Direct,Private Landlord,C,1942,233.74,Furnished
PROP0090,Greenwich,SE10 3AG,Semi-Detached House,4,3,3690,2022-12-24,2023-01-22,2025-01-21,Under Offer,Knight Frank,Housing Association,C,1922,0.0,Part Furnished
PROP0091,Southwark,SE15 6AE,Studio,0,1,1290,2023-10-06,2023-11-13,2024-11-12,Void,Haart,Corporate Landlord,D,1908,0.0,Unfurnished
PROP0092,Lewisham,SE6 5AB,Semi-Detached House,3,2,2910,2023-06-04,2023-06-15,2024-06-14,Let,Foxtons,Private Landlord,B,1978,0.0,Part Furnished
PROP0093,Greenwich,SE10 8AB,Terraced House,2,1,2610,2023-08-09,2023-09-26,2024-09-25,Let,Haart,Housing Association,C,1991,0.0,Furnished
PROP0094,Greenwich,SE3 7AJ,Semi-Detached House,3,3,3370,2023-03-26,2023-05-05,2025-05-04,Available,Purplebricks,Corporate Landlord,C,1986,0.0,Part Furnished
PROP0095,Hackney,N16 3AH,Studio,0,1,1400,2022-12-04,2022-12-17,2024-12-16,Available,Hunters,Corporate Landlord,B,1974,0.0,Part Furnished
PROP0096,Southwark,SE15 7AH,Maisonette,2,1,2610,2023-02-06,2023-02-21,2025-02-20,Available,Savills,Corporate Landlord,B,1985,210.85,Part Furnished
PROP0097,Haringey,N8 8AF,Maisonette,1,1,1990,2023-06-05,2023-07-05,2024-07-04,Let,Knight Frank,Housing Association,C,1917,46.48,Unfurnished
PROP0098,Ealing,W5 3AE,Studio,0,1,1160,2023-06-24,2023-07-03,2025-07-02,Let,Knight Frank,Estate Agency,B,1992,0.0,Unfurnished
PROP0099,Hackney,E9 8AL,Terraced House,3,2,3540,2023-04-05,2023-04-26,2025-04-25,Let,Haart,Housing Association,C,1999,0.0,Unfurnished
PROP0100,Greenwich,SE18 9AB,Terraced House,3,3,3100,2022-05-22,2022-06-14,2023-06-14,Available,Purplebricks,Private Landlord,C,1910,0.0,Furnished
PROP0101,Islington,N1 7AN,Terraced House,3,2,3520,2022-08-16,2022-10-14,2023-10-14,Under Offer,Foxtons,Estate Agency,C,1930,0.0,Unfurnished
PROP0102,Tower Hamlets,E14 3AL,Terraced House,2,1,3030,2023-10-28,2023-11-25,2024-11-24,Let,Hunters,Estate Agency,D,1978,0.0,Furnished
PROP0103,Hammersmith and Fulham,W6 5AB,Flat,2,2,2830,2023-07-16,2023-09-07,2025-09-06,Let,Savills,Corporate Landlord,A,1930,125.95,Part Furnished
PROP0104,Lewisham,SE6 1AP,Flat,2,1,2070,2023-10-10,2023-11-18,2025-11-17,Let,Knight Frank,Corporate Landlord,C,1930,171.2,Furnished
PROP0105,Haringey,N8 1AJ,Semi-Detached House,4,3,3430,2023-06-23,2023-08-03,2025-08-02,Void,Foxtons,Estate Agency,C,1932,0.0,Part Furnished
PROP0106,Hackney,E8 6AN,Terraced House,2,1,2760,2023-11-04,2023-12-21,2024-12-20,Void,Purplebricks,Housing Association,C,2004,0.0,Part Furnished
PROP0107,Southwark,SE15 8AA,Studio,0,1,1370,2023-12-14,2024-01-20,2026-01-19,Let,Knight Frank,Private Landlord,C,1925,0.0,Furnished
PROP0108,Brent,NW6 6AA,Flat,1,1,1630,2023-06-12,2023-07-14,2025-07-13,Let,Foxtons,Housing Association,C,1934,37.34,Unfurnished
PROP0109,Wandsworth,SW18 5AB,Studio,0,1,1330,2023-01-31,2023-02-28,2024-02-28,Let,Haart,Corporate Landlord,D,1910,0.0,Unfurnished
PROP0110,Newham,E15 7AE,Maisonette,1,1,1740,2022-04-16,2022-04-28,2023-04-28,Available,Hunters,Estate Agency,D,1944,134.14,Part Furnished
PROP0111,Ealing,W5 3AP,Maisonette,3,2,2510,2022-02-28,2022-03-11,2024-03-10,Available,Purplebricks,Housing Association,D,1904,37.87,Furnished
PROP0112,Brent,NW6 2AP,Semi-Detached House,3,2,3260,2022-02-03,2022-03-20,2023-03-20,Available,Purplebricks,Corporate Landlord,B,1967,0.0,Unfurnished
PROP0113,Wandsworth,SW12 5AL,Flat,2,2,2530,2022-01-27,2022-03-22,2023-03-22,Let,Direct,Private Landlord,C,1978,85.67,Unfurnished
PROP0114,Lambeth,SE11 2AN,Flat,1,1,1640,2023-04-01,2023-04-13,2025-04-12,Under Offer,Purplebricks,Corporate Landlord,E,1937,267.4,Furnished
PROP0115,Waltham Forest,E10 8AA,Detached House,5,4,4590,2023-01-06,2023-02-14,2024-02-14,Let,Countrywide,Housing Association,C,1970,0.0,Part Furnished
PROP0116,Camden,NW3 2AE,Terraced House,3,2,4160,2022-03-09,2022-04-04,2023-04-04,Under Offer,Haart,Estate Agency,C,1982,0.0,Furnished
PROP0117,Lewisham,SE23 1AB,Terraced House,3,3,3010,2023-07-19,2023-09-04,2025-09-03,Let,Knight Frank,Estate Agency,E,1919,0.0,Unfurnished
PROP0118,Southwark,SE15 5AP,Flat,1,1,1970,2023-06-16,2023-07-11,2024-07-10,Let,Hunters,Housing Association,E,1911,150.77,Furnished
PROP0119,Newham,E6 5AF,Maisonette,1,1,1850,2023-09-12,2023-10-10,2025-10-09,Let,Foxtons,Private Landlord,D,1979,191.7,Unfurnished
PROP0120,Hammersmith and Fulham,SW6 1AE,Semi-Detached House,3,2,4400,2023-05-10,2023-06-01,2025-05-31,Let,Haart,Private Landlord,D,1953,0.0,Unfurnished
PROP0121,Lewisham,SE23 9AB,Flat,3,3,2570,2022-11-23,2023-01-15,2024-01-15,Under Offer,Knight Frank,Corporate Landlord,C,1930,139.94,Unfurnished
PROP0122,Lewisham,SE23 6AF,Flat,1,1,1520,2023-01-29,2023-03-16,2024-03-15,Let,Knight Frank,Corporate Landlord,B,1963,298.79,Unfurnished
PROP0123,Lewisham,SE13 1AG,Studio,0,1,1090,2023-02-07,2023-03-18,2024-03-17,Under Offer,Countrywide,Corporate Landlord,D,1976,0.0,Part Furnished
PROP0124,Haringey,N8 1AP,Terraced House,2,2,2300,2022-09-28,2022-11-20,2023-11-20,Void,Purplebricks,Private Landlord,E,1924,0.0,Unfurnished
PROP0125,Greenwich,SE10 7AH,Flat,2,1,2120,2023-07-18,2023-08-11,2025-08-10,Available,Savills,Housing Association,C,1971,281.68,Furnished
PROP0126,Lambeth,SW2 9AE,Semi-Detached House,3,2,3200,2022-02-09,2022-02-24,2024-02-24,Let,Haart,Estate Agency,C,2019,0.0,Part Furnished
PROP0127,Camden,NW3 1AH,Flat,3,2,3840,2023-08-31,2023-09-28,2025-09-27,Void,Haart,Corporate Landlord,C,1986,32.88,Unfurnished
PROP0128,Newham,E6 9AP,Flat,1,1,1430,2023-11-03,2023-12-30,2025-12-29,Available,Foxtons,Estate Agency,D,1918,246.5,Furnished
PROP0129,Hackney,N16 8AA,Semi-Detached House,4,4,4330,2023-03-28,2023-04-24,2024-04-23,Let,Countrywide,Estate Agency,B,1966,0.0,Furnished
PROP0130,Greenwich,SE18 8AF,Flat,2,1,2100,2022-06-27,2022-08-02,2024-08-01,Let,Purplebricks,Corporate Landlord,C,1935,167.43,Furnished
PROP0131,Islington,N1 9AJ,Studio,0,1,1490,2023-12-23,2024-01-30,2025-01-29,Let,Hunters,Corporate Landlord,D,2004,0.0,Unfurnished
PROP0132,Brent,NW2 9AG,Studio,0,1,1060,2022-03-22,2022-04-20,2023-04-20,Available,Haart,Housing Association,E,1989,0.0,Unfurnished
PROP0133,Southwark,SE5 6AL,Flat,3,3,2980,2023-11-17,2023-12-27,2024-12-26,Available,Foxtons,Private Landlord,B,1987,231.23,Furnished
PROP0134,Greenwich,SE3 1AB,Maisonette,1,1,2090,2023-05-03,2023-06-09,2025-06-08,Let,Hunters,Corporate Landlord,C,1968,221.61,Furnished
PROP0135,Hammersmith and Fulham,W6 1AG,Maisonette,2,2,3010,2022-02-07,2022-04-08,2023-04-08,Void,Knight Frank,Corporate Landlord,B,2018,294.9,Unfurnished
PROP0136,Lewisham,SE13 8AG,Maisonette,3,2,2740,2022-05-18,2022-06-26,2023-06-26,Let,Savills,Corporate Landlord,B,1901,220.99,Unfurnished
PROP0137,Newham,E15 2AE,Semi-Detached House,3,3,2930,2023-10-17,2023-11-18,2024-11-17,Let,Savills,Estate Agency,B,1961,0.0,Unfurnished
PROP0138,Hammersmith and Fulham,SW6 6AF,Flat,2,1,2570,2022-10-01,2022-10-29,2023-10-29,Available,Foxtons,Corporate Landlord,A,1985,35.47,Unfurnished
PROP0139,Southwark,SE1 8AP,Terraced House,3,2,3130,2022-10-30,2022-11-29,2024-11-28,Let,Knight Frank,Estate Agency,C,1953,0.0,Part Furnished
PROP0140,Greenwich,SE18 6AB,Maisonette,3,2,3000,2022-09-11,2022-10-31,2024-10-30,Under Offer,Savills,Estate Agency,B,1907,248.63,Part Furnished
PROP0141,Lambeth,SE11 8AA,Semi-Detached House,3,3,3360,2023-06-17,2023-07-22,2024-07-21,Available,Haart,Private Landlord,D,1916,0.0,Part Furnished
PROP0142,Wandsworth,SW18 2AA,Terraced House,2,1,2670,2022-11-12,2023-01-04,2024-01-04,Let,Foxtons,Housing Association,D,1944,0.0,Part Furnished
PROP0143,Tower Hamlets,E3 7AL,Terraced House,2,2,3050,2023-04-29,2023-05-08,2024-05-07,Let,Knight Frank,Estate Agency,D,1948,0.0,Furnished
PROP0144,Haringey,N15 4AA,Maisonette,3,3,2780,2022-12-23,2023-01-06,2024-01-06,Under Offer,Direct,Housing Association,A,1938,138.9,Part Furnished
PROP0145,Greenwich,SE18 7AP,Terraced House,4,4,3430,2022-12-21,2023-01-06,2024-01-06,Let,Savills,Private Landlord,A,1930,0.0,Furnished
PROP0146,Tower Hamlets,E1 9AF,Flat,1,1,1920,2023-12-22,2024-01-01,2024-12-31,Available,Direct,Estate Agency,A,1917,151.17,Unfurnished
PROP0147,Lambeth,SW2 9AF,Studio,0,1,1310,2023-08-15,2023-09-29,2025-09-28,Void,Countrywide,Corporate Landlord,D,1938,0.0,Unfurnished
PROP0148,Hackney,N16 7AN,Semi-Detached House,4,3,4860,2023-10-04,2023-11-23,2024-11-22,Available,Foxtons,Corporate Landlord,C,1989,0.0,Unfurnished
PROP0149,Wandsworth,SW11 9AJ,Flat,2,2,2450,2023-04-30,2023-05-22,2024-05-21,Let,Knight Frank,Estate Agency,D,1971,159.0,Unfurnished
PROP0150,Lambeth,SW9 7AP,Flat,2,1,2120,2023-04-06,2023-05-06,2024-05-05,Let,Countrywide,Private Landlord,A,2011,21.84,Part Furnished
PROP0151,Waltham Forest,E11 8AF,Semi-Detached House,3,2,2680,2022-12-07,2023-01-02,2024-01-02,Let,Countrywide,Private Landlord,C,1950,0.0,Furnished
PROP0152,Greenwich,SE10 8AH,Flat,2,1,2130,2023-10-27,2023-11-25,2024-11-24,Let,Haart,Estate Agency,C,1947,93.88,Furnished
PROP0153,Newham,E6 4AH,Studio,0,1,1020,2022-09-25,2022-11-06,2024-11-05,Available,Direct,Corporate Landlord,C,1948,0.0,Part Furnished
PROP0154,Ealing,W5 6AE,Flat,3,2,2690,2022-12-12,2023-01-04,2024-01-04,Under Offer,Haart,Estate Agency,B,1992,163.96,Furnished
PROP0155,Hammersmith and Fulham,W12 3AF,Studio,0,1,1650,2023-06-21,2023-06-30,2024-06-29,Under Offer,Foxtons,Private Landlord,B,1990,0.0,Furnished
PROP0156,Hackney,E8 9AN,Flat,2,1,2340,2023-10-16,2023-12-04,2025-12-03,Under Offer,Haart,Private Landlord,D,1901,5.02,Part Furnished
PROP0157,Islington,N1 9AE,Terraced House,3,3,3770,2023-12-16,2024-02-04,2025-02-03,Void,Knight Frank,Private Landlord,C,1924,0.0,Part Furnished
PROP0158,Greenwich,SE3 2AA,Flat,2,1,2240,2022-03-22,2022-04-21,2023-04-21,Let,Countrywide,Housing Association,B,1951,113.78,Part Furnished
PROP0159,Lewisham,SE13 4AP,Flat,1,1,1490,2023-05-27,2023-06-30,2025-06-29,Void,Savills,Private Landlord,D,1934,13.97,Furnished
PROP0160,Haringey,N4 5AE,Maisonette,3,2,2780,2022-07-03,2022-07-30,2023-07-30,Under Offer,Knight Frank,Estate Agency,C,1972,250.4,Unfurnished
PROP0161,Haringey,N4 7AF,Studio,0,1,1140,2022-05-24,2022-07-20,2024-07-19,Available,Purplebricks,Private Landlord,B,1943,0.0,Part Furnished
PROP0162,Brent,NW2 6AN,Semi-Detached House,4,3,3880,2022-12-01,2022-12-09,2024-12-08,Let,Haart,Estate Agency,D,1955,0.0,Furnished
PROP0163,Haringey,N4 7AE,Semi-Detached House,3,3,3240,2022-10-30,2022-12-27,2023-12-27,Available,Savills,Corporate Landlord,D,1940,0.0,Unfurnished
